@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
255,'2017/06/26 16:27:05:781',2,2,74,68,?,?,?
256,'2017/06/26 16:27:05:829',2,2,74,68,?,?,?
257,'2017/06/26 16:27:05:877',2,2,75,66,?,?,?
258,'2017/06/26 16:27:05:926',2,2,75,66,?,?,?
259,'2017/06/26 16:27:05:975',2,2,75,66,?,?,?
260,'2017/06/26 16:27:06:023',2,2,75,66,?,?,?
261,'2017/06/26 16:27:06:071',2,2,75,67,?,?,?
262,'2017/06/26 16:27:06:119',2,2,75,67,?,?,?
263,'2017/06/26 16:27:06:167',2,2,75,67,?,?,?
264,'2017/06/26 16:27:06:215',2,2,75,67,?,?,?
265,'2017/06/26 16:27:06:263',2,2,75,67,?,?,?
266,'2017/06/26 16:27:06:310',2,2,75,67,?,?,?
267,'2017/06/26 16:27:06:358',2,2,75,67,?,?,?
268,'2017/06/26 16:27:06:406',2,2,75,67,?,?,?
269,'2017/06/26 16:27:06:454',2,2,75,68,?,?,?
270,'2017/06/26 16:27:06:502',2,2,75,65,?,?,?
271,'2017/06/26 16:27:06:551',2,2,75,65,?,?,?
272,'2017/06/26 16:27:06:599',2,2,75,64,?,?,?
273,'2017/06/26 16:27:06:647',2,2,76,63,?,?,?
274,'2017/06/26 16:27:06:697',2,2,75,63,?,?,?
275,'2017/06/26 16:27:06:745',2,2,75,63,?,?,?
276,'2017/06/26 16:27:06:794',2,2,75,65,?,?,?
277,'2017/06/26 16:27:06:842',2,2,74,66,?,?,?
278,'2017/06/26 16:27:06:891',2,2,75,65,?,?,?
279,'2017/06/26 16:27:06:939',2,2,75,65,?,?,?
280,'2017/06/26 16:27:06:987',2,2,75,65,?,?,?
281,'2017/06/26 16:27:07:048',2,2,75,65,?,?,?
282,'2017/06/26 16:27:07:096',2,2,75,64,?,?,?
283,'2017/06/26 16:27:07:145',2,2,75,65,?,?,?
284,'2017/06/26 16:27:19:899',3,88,13,92,?,?,?
285,'2017/06/26 16:27:19:949',3,88,13,92,?,?,?
286,'2017/06/26 16:27:20:000',3,87,13,93,?,?,?
287,'2017/06/26 16:27:20:049',3,88,13,93,?,?,?
288,'2017/06/26 16:27:20:097',3,88,13,92,?,?,?
289,'2017/06/26 16:27:20:147',3,88,13,92,?,?,?
290,'2017/06/26 16:27:20:197',3,88,13,92,?,?,?
291,'2017/06/26 16:27:20:246',3,89,13,91,?,?,?
292,'2017/06/26 16:27:20:294',3,89,13,91,?,?,?
293,'2017/06/26 16:27:20:343',3,88,13,92,?,?,?
294,'2017/06/26 16:27:20:392',3,88,13,91,?,?,?
295,'2017/06/26 16:27:20:442',3,88,13,92,?,?,?
296,'2017/06/26 16:27:20:491',3,89,12,91,?,?,?
297,'2017/06/26 16:27:20:541',3,89,13,92,?,?,?
298,'2017/06/26 16:27:20:590',3,89,13,92,?,?,?
299,'2017/06/26 16:27:20:639',3,88,13,92,?,?,?
300,'2017/06/26 16:27:20:688',3,87,12,93,?,?,?
301,'2017/06/26 16:27:20:737',3,87,13,93,?,?,?
302,'2017/06/26 16:27:20:787',3,87,13,92,?,?,?
303,'2017/06/26 16:27:20:836',3,87,14,91,?,?,?
304,'2017/06/26 16:27:20:885',3,86,13,92,?,?,?
305,'2017/06/26 16:27:20:934',3,85,13,93,?,?,?
306,'2017/06/26 16:27:20:983',3,86,13,93,?,?,?
307,'2017/06/26 16:27:21:031',3,87,13,92,?,?,?
308,'2017/06/26 16:27:21:081',3,86,13,92,?,?,?
309,'2017/06/26 16:27:21:128',3,86,13,92,?,?,?
310,'2017/06/26 16:27:21:176',3,85,13,92,?,?,?
311,'2017/06/26 16:27:21:226',3,85,13,94,?,?,?
312,'2017/06/26 16:27:21:275',3,86,13,93,?,?,?
313,'2017/06/26 16:27:21:326',3,85,13,92,?,?,?
314,'2017/06/26 16:27:21:383',3,85,13,93,?,?,?
315,'2017/06/26 16:27:21:432',3,84,12,94,?,?,?
316,'2017/06/26 16:27:21:481',3,83,12,95,?,?,?
317,'2017/06/26 16:27:21:529',3,83,13,94,?,?,?
318,'2017/06/26 16:27:21:579',3,82,13,94,?,?,?
319,'2017/06/26 16:27:21:627',3,82,12,95,?,?,?
320,'2017/06/26 16:27:21:676',3,81,12,95,?,?,?
321,'2017/06/26 16:27:21:726',3,82,13,95,?,?,?
322,'2017/06/26 16:27:21:775',3,82,12,94,?,?,?
323,'2017/06/26 16:27:21:824',3,83,12,93,?,?,?
324,'2017/06/26 16:27:21:874',3,82,11,96,?,?,?
325,'2017/06/26 16:27:21:923',3,83,11,95,?,?,?
326,'2017/06/26 16:27:21:971',3,83,12,94,?,?,?
327,'2017/06/26 16:27:22:020',3,82,11,95,?,?,?
328,'2017/06/26 16:27:22:069',3,83,12,93,?,?,?
329,'2017/06/26 16:27:22:117',3,82,11,95,?,?,?
330,'2017/06/26 16:27:22:167',3,83,12,93,?,?,?
